Lower tier local authorities Code,Lower tier local authorities,Hours worked (5 categories) Code,Hours worked (5 categories),Observation
E09000001,City of London,-8,Does not apply,3232
E09000001,City of London,1,Part-time: 15 hours or less worked,386
E09000001,City of London,2,Part-time: 16 to 30 hours worked,499
E09000001,City of London,3,Full-time: 31 to 48 hours worked,2760
E09000001,City of London,4,Full-time: 49 or more hours worked,1706
E09000002,Barking and Dagenham,-8,Does not apply,124280
E09000002,Barking and Dagenham,1,Part-time: 15 hours or less worked,10801
E09000002,Barking and Dagenham,2,Part-time: 16 to 30 hours worked,20086
E09000002,Barking and Dagenham,3,Full-time: 31 to 48 hours worked,55490
E09000002,Barking and Dagenham,4,Full-time: 49 or more hours worked,8211
E09000003,Barnet,-8,Does not apply,203170
E09000003,Barnet,1,Part-time: 15 hours or less worked,23760
E09000003,Barnet,2,Part-time: 16 to 30 hours worked,35920
E09000003,Barnet,3,Full-time: 31 to 48 hours worked,101785
E09000003,Barnet,4,Full-time: 49 or more hours worked,24710
E09000004,Bexley,-8,Does not apply,128489
E09000004,Bexley,1,Part-time: 15 hours or less worked,11593
E09000004,Bexley,2,Part-time: 16 to 30 hours worked,20988
E09000004,Bexley,3,Full-time: 31 to 48 hours worked,73640
E09000004,Bexley,4,Full-time: 49 or more hours worked,11764
E09000005,Brent,-8,Does not apply,178819
E09000005,Brent,1,Part-time: 15 hours or less worked,18564
E09000005,Brent,2,Part-time: 16 to 30 hours worked,30956
E09000005,Brent,3,Full-time: 31 to 48 hours worked,93506
E09000005,Brent,4,Full-time: 49 or more hours worked,17971
E09000006,Bromley,-8,Does not apply,167869
E09000006,Bromley,1,Part-time: 15 hours or less worked,16708
E09000006,Bromley,2,Part-time: 16 to 30 hours worked,27359
E09000006,Bromley,3,Full-time: 31 to 48 hours worked,97180
E09000006,Bromley,4,Full-time: 49 or more hours worked,20875
E09000007,Camden,-8,Does not apply,107625
E09000007,Camden,1,Part-time: 15 hours or less worked,11879
E09000007,Camden,2,Part-time: 16 to 30 hours worked,15126
E09000007,Camden,3,Full-time: 31 to 48 hours worked,55453
E09000007,Camden,4,Full-time: 49 or more hours worked,20053
E09000008,Croydon,-8,Does not apply,201312
E09000008,Croydon,1,Part-time: 15 hours or less worked,20311
E09000008,Croydon,2,Part-time: 16 to 30 hours worked,35258
E09000008,Croydon,3,Full-time: 31 to 48 hours worked,114645
E09000008,Croydon,4,Full-time: 49 or more hours worked,19191
E09000009,Ealing,-8,Does not apply,192088
E09000009,Ealing,1,Part-time: 15 hours or less worked,19422
E09000009,Ealing,2,Part-time: 16 to 30 hours worked,31572
E09000009,Ealing,3,Full-time: 31 to 48 hours worked,103442
E09000009,Ealing,4,Full-time: 49 or more hours worked,20590
E09000010,Enfield,-8,Does not apply,186120
E09000010,Enfield,1,Part-time: 15 hours or less worked,17931
E09000010,Enfield,2,Part-time: 16 to 30 hours worked,32888
E09000010,Enfield,3,Full-time: 31 to 48 hours worked,79164
E09000010,Enfield,4,Full-time: 49 or more hours worked,13881
E09000011,Greenwich,-8,Does not apply,146134
E09000011,Greenwich,1,Part-time: 15 hours or less worked,13717
E09000011,Greenwich,2,Part-time: 16 to 30 hours worked,24120
E09000011,Greenwich,3,Full-time: 31 to 48 hours worked,87019
E09000011,Greenwich,4,Full-time: 49 or more hours worked,18081
E09000012,Hackney,-8,Does not apply,124838
E09000012,Hackney,1,Part-time: 15 hours or less worked,14022
E09000012,Hackney,2,Part-time: 16 to 30 hours worked,25452
E09000012,Hackney,3,Full-time: 31 to 48 hours worked,76457
E09000012,Hackney,4,Full-time: 49 or more hours worked,18379
E09000013,Hammersmith and Fulham,-8,Does not apply,85064
E09000013,Hammersmith and Fulham,1,Part-time: 15 hours or less worked,9497
E09000013,Hammersmith and Fulham,2,Part-time: 16 to 30 hours worked,13108
E09000013,Hammersmith and Fulham,3,Full-time: 31 to 48 hours worked,56608
E09000013,Hammersmith and Fulham,4,Full-time: 49 or more hours worked,18880
E09000014,Haringey,-8,Does not apply,129857
E09000014,Haringey,1,Part-time: 15 hours or less worked,16523
E09000014,Haringey,2,Part-time: 16 to 30 hours worked,26943
E09000014,Haringey,3,Full-time: 31 to 48 hours worked,74963
E09000014,Haringey,4,Full-time: 49 or more hours worked,15952
E09000015,Harrow,-8,Does not apply,136166
E09000015,Harrow,1,Part-time: 15 hours or less worked,13761
E09000015,Harrow,2,Part-time: 16 to 30 hours worked,22778
E09000015,Harrow,3,Full-time: 31 to 48 hours worked,73682
