Lower tier local authorities Code,Lower tier local authorities,Occupation (current) (10 categories),Observation
E09000001,City of London,Does not apply,3232
E09000001,City of London,"1. Managers, directors and senior officials",1104
E09000001,City of London,2. Professional occupations,2349
E09000001,City of London,3. Associate professional and technical occupations,1027
E09000001,City of London,4. Administrative and secretarial occupations,267
E09000001,City of London,5. Skilled trades occupations,97
E09000001,City of London,"6. Caring, leisure and other service occupations",152
E09000001,City of London,7. Sales and customer service occupations,122
E09000001,City of London,"8. Process, plant and machine operatives",50
E09000001,City of London,9. Elementary occupations,178
E09000002,Barking and Dagenham,Does not apply,124280
E09000002,Barking and Dagenham,"1. Managers, directors and senior officials",7786
E09000002,Barking and Dagenham,2. Professional occupations,15185
E09000002,Barking and Dagenham,3. Associate professional and technical occupations,9279
E09000002,Barking and Dagenham,4. Administrative and secretarial occupations,8798
E09000002,Barking and Dagenham,5. Skilled trades occupations,10957
E09000002,Barking and Dagenham,"6. Caring, leisure and other service occupations",10934
E09000002,Barking and Dagenham,7. Sales and customer service occupations,7686
E09000002,Barking and Dagenham,"8. Process, plant and machine operatives",8964
E09000002,Barking and Dagenham,9. Elementary occupations,15000
E09000003,Barnet,Does not apply,203170
E09000003,Barnet,"1. Managers, directors and senior officials",31481
E09000003,Barnet,2. Professional occupations,50534
E09000003,Barnet,3. Associate professional and technical occupations,25626
E09000003,Barnet,4. Administrative and secretarial occupations,16520
E09000003,Barnet,5. Skilled trades occupations,14478
E09000003,Barnet,"6. Caring, leisure and other service occupations",14342
E09000003,Barnet,7. Sales and customer service occupations,10663
E09000003,Barnet,"8. Process, plant and machine operatives",8394
E09000003,Barnet,9. Elementary occupations,14137
E09000004,Bexley,Does not apply,128489
E09000004,Bexley,"1. Managers, directors and senior officials",14498
E09000004,Bexley,2. Professional occupations,23417
E09000004,Bexley,3. Associate professional and technical occupations,16138
E09000004,Bexley,4. Administrative and secretarial occupations,15535
E09000004,Bexley,5. Skilled trades occupations,12291
E09000004,Bexley,"6. Caring, leisure and other service occupations",10333
E09000004,Bexley,7. Sales and customer service occupations,8186
E09000004,Bexley,"8. Process, plant and machine operatives",7430
E09000004,Bexley,9. Elementary occupations,10155
E09000005,Brent,Does not apply,178819
E09000005,Brent,"1. Managers, directors and senior officials",18700
E09000005,Brent,2. Professional occupations,31402
E09000005,Brent,3. Associate professional and technical occupations,19463
E09000005,Brent,4. Administrative and secretarial occupations,13311
E09000005,Brent,5. Skilled trades occupations,15838
E09000005,Brent,"6. Caring, leisure and other service occupations",13901
E09000005,Brent,7. Sales and customer service occupations,13423
E09000005,Brent,"8. Process, plant and machine operatives",12932
E09000005,Brent,9. Elementary occupations,22027
E09000006,Bromley,Does not apply,167869
E09000006,Bromley,"1. Managers, directors and senior officials",27845
E09000006,Bromley,2. Professional occupations,43321
E09000006,Bromley,3. Associate professional and technical occupations,25707
E09000006,Bromley,4. Administrative and secretarial occupations,17733
E09000006,Bromley,5. Skilled trades occupations,12787
E09000006,Bromley,"6. Caring, leisure and other service occupations",11212
E09000006,Bromley,7. Sales and customer service occupations,8498
E09000006,Bromley,"8. Process, plant and machine operatives",5867
E09000006,Bromley,9. Elementary occupations,9152
E09000007,Camden,Does not apply,107625
E09000007,Camden,"1. Managers, directors and senior officials",18247
E09000007,Camden,2. Professional occupations,35269
E09000007,Camden,3. Associate professional and technical occupations,19193
E09000007,Camden,4. Administrative and secretarial occupations,6330
E09000007,Camden,5. Skilled trades occupations,3781
